,confirmed,death,recovered,Date
0,3,0,0,2020-03-08
1,3,0,0,2020-03-09
2,3,0,0,2020-03-10
3,3,0,0,2020-03-11
4,3,0,0,2020-03-12
5,3,0,0,2020-03-13
6,3,0,0,2020-03-14
7,5,0,0,2020-03-15
8,8,0,2,2020-03-16
9,10,0,3,2020-03-17
10,14,1,3,2020-03-18
11,17,1,3,2020-03-19
12,20,1,3,2020-03-20
13,25,2,3,2020-03-21
14,27,2,3,2020-03-22
15,33,3,3,2020-03-23
16,39,4,5,2020-03-24
17,39,5,7,2020-03-25
18,44,5,11,2020-03-26
19,48,5,11,2020-03-27
20,48,5,15,2020-03-28
21,48,5,15,2020-03-29
22,49,5,19,2020-03-30
23,51,5,25,2020-03-31
24,54,6,25,2020-04-01
25,56,6,25,2020-04-02
26,61,6,26,2020-04-03
27,70,8,30,2020-04-04
28,88,9,33,2020-04-05
29,123,12,33,2020-04-06
30,164,17,33,2020-04-07
31,218,20,33,2020-04-08
32,330,21,33,2020-04-09
33,424,27,33,2020-04-10
34,482,30,36,2020-04-11
35,621,34,39,2020-04-12
36,803,39,42,2020-04-13
37,1012,46,42,2020-04-14
38,1231,50,49,2020-04-15
39,1572,60,49,2020-04-16
40,1838,75,58,2020-04-17
41,2144,84,66,2020-04-18
42,2456,91,75,2020-04-19
43,2948,101,85,2020-04-20
44,3382,110,87,2020-04-21
45,3772,120,92,2020-04-22
46,4186,127,108,2020-04-23
47,4689,131,112,2020-04-24
48,4998,140,113,2020-04-25
49,5416,145,122,2020-04-26
50,5913,152,131,2020-04-27
51,6462,155,139,2020-04-28
52,7103,163,150,2020-04-29
53,7667,168,160,2020-04-30
54,8238,170,174,2020-05-01
55,8790,175,177,2020-05-02
56,9455,177,1063,2020-05-03
57,10143,182,1209,2020-05-04
58,10929,183,1403,2020-05-05
59,11719,186,1403,2020-05-06
60,12425,199,1910,2020-05-07
61,13134,206,2101,2020-05-08
62,13770,214,2414,2020-05-09
63,14657,228,2650,2020-05-10
64,15691,239,2902,2020-05-11
65,16660,250,3147,2020-05-12
66,17822,269,3361,2020-05-13
67,18863,283,3361,2020-05-14
68,20065,298,3882,2020-05-15
69,20995,314,4117,2020-05-16
70,22268,328,4373,2020-05-17
71,23870,349,4585,2020-05-18
72,25121,370,4993,2020-05-19
73,26738,386,5207,2020-05-20
74,28511,408,5602,2020-05-21
75,30205,432,6190,2020-05-22
76,32078,452,6486,2020-05-23
77,33610,480,6901,2020-05-24
78,35585,501,7334,2020-05-25
79,36751,522,7579,2020-05-26
80,38292,544,7925,2020-05-27
81,40321,559,8425,2020-05-28
82,42844,582,9015,2020-05-29
83,44608,610,9375,2020-05-30
84,47153,650,9781,2020-05-31
85,49534,672,10597,2020-06-01
86,52445,709,11120,2020-06-02
87,55140,746,11590,2020-06-03
88,57563,781,12161,2020-06-04
89,60391,811,12804,2020-06-05
90,63026,846,13325,2020-06-06
91,65769,888,13903,2020-06-07
92,68504,930,14560,2020-06-08
93,71675,975,15337,2020-06-09
94,74865,1012,15900,2020-06-10
95,78052,1049,16747,2020-06-11
96,81523,1095,17249,2020-06-12
97,84379,1139,17828,2020-06-13
98,87520,1171,18730,2020-06-14
99,90619,1209,18731,2020-06-15
100,94481,1262,36264,2020-06-16
101,98489,1305,38189,2020-06-17
102,102292,1343,40164,2020-06-18
103,105535,1388,42945,2020-06-19
104,108775,1425,43993,2020-06-20
105,112306,1464,45077,2020-06-21
106,115786,1502,46755,2020-06-22
107,119198,1545,47635,2020-06-23
108,122660,1582,49666,2020-06-24
109,126606,1621,51495,2020-06-25
110,130474,1661,53133,2020-06-26
111,133978,1695,54318,2020-06-27
112,137787,1738,55727,2020-06-28
113,141801,1783,57780,2020-06-29
114,145483,1847,59624,2020-06-30
115,149258,1888,62108,2020-07-01
116,153277,1926,66442,2020-07-02
117,156391,1968,68048,2020-07-03
118,159679,1997,70721,2020-07-04
119,162417,2052,72625,2020-07-05
120,165618,2096,76149,2020-07-06
121,168645,2151,78102,2020-07-07
122,172134,2197,80838,2020-07-08
123,175494,2238,84544,2020-07-09
124,178443,2275,86406,2020-07-10
125,181129,2305,88034,2020-07-11
126,183795,2352,93614,2020-07-12
127,186894,2391,98317,2020-07-13
128,190057,2424,103227,2020-07-14
129,193590,2457,105523,2020-07-15
130,196323,2496,106963,2020-07-16
131,199357,2547,108725,2020-07-17
132,202066,2581,110098,2020-07-18
133,204525,2618,111642,2020-07-19
134,207453,2668,113556,2020-07-20
135,210510,2709,115397,2020-07-21
136,213254,2751,117202,2020-07-22
137,216110,2801,119208,2020-07-23
138,218658,2836,120976,2020-07-24
139,221178,2874,122090,2020-07-25
140,223453,2928,123882,2020-07-26
141,226225,2965,125683,2020-07-27
142,229185,3000,127414,2020-07-28
143,232194,3035,130292,2020-07-29
144,234889,3083,132960,2020-07-30
145,237661,3111,135136,2020-07-31
146,239860,3132,136253,2020-08-01
147,240746,3154,136839,2020-08-02
148,242102,3184,137905,2020-08-03
149,244020,3234,139860,2020-08-04
150,246674,3267,141750,2020-08-05
151,249651,3306,143824,2020-08-06
152,252502,3333,145584,2020-08-07
153,255113,3365,146604,2020-08-08
154,257600,3399,148370,2020-08-09
155,260507,3438,150437,2020-08-10
156,263503,3471,151972,2020-08-11
157,266498,3513,153089,2020-08-12
158,269115,3557,154871,2020-08-13
159,271881,3591,156623,2020-08-14
160,274525,3625,157635,2020-08-15
161,276549,3657,158950,2020-08-16
162,279144,3694,160591,2020-08-17
163,282344,3740,162825,2020-08-18
164,285091,3781,165738,2020-08-19
165,287959,3822,168991,2020-08-20
166,290360,3861,172615,2020-08-21
167,292625,3907,175567,2020-08-22
168,294598,3941,179091,2020-08-23
169,297083,3983,182875,2020-08-24
170,299628,4028,186756,2020-08-25
171,302147,4082,190183,2020-08-26
172,304583,4127,193458,2020-08-27
173,306794,4174,196836,2020-08-28
174,308925,4206,198863,2020-08-29
175,310822,4248,201907,2020-08-30
176,312996,4281,204887,2020-08-31
177,314946,4316,208177,2020-09-01
178,317528,4351,211016,2020-09-02
179,319686,4383,213980,2020-09-03
180,321615,4412,216191,2020-09-04
181,323565,4447,217852,2020-09-05
182,325157,4479,221275,2020-09-06
183,327359,4516,224573,2020-09-07
184,329251,4552,227809,2020-09-08
185,331078,4593,230804,2020-09-09
186,332970,4634,233550,2020-09-10
187,334762,4668,236024,2020-09-11
188,336044,4702,238271,2020-09-12
